missionID: mission_002
missionName: タワー防衛作戦
client: Cybros
reward: 4000
description: タワーを汚染されたACから防衛
sceneName: セントラルタワー
missionImage: Images/Mission/ミッション選択背景
companyImage: Images/Mission/All_Union
stageName: セントラルタワー
objectives: ||
objectiveAmounts: ||
rewardAmount: 4000
messages: こちらはサイブロス作戦管制。|現在、研究タワー第7区が汚染されたTFの襲撃を受けています。|あなたの任務は、タワーを防衛し、敵の侵入を阻止すること。|汚染個体は高い出力を維持したまま暴走しています。|接近戦は危険です。距離を取って迎撃してください。|タワーの損傷率が一定を超えた場合、任務は失敗となります。|防衛ラインを維持し、Cybrosの資産を守ってください。|幸運を、レイヴン。
voices: VoiceClips/Cybros/ミッション1/001|VoiceClips/Cybros/ミッション1/002|VoiceClips/Cybros/ミッション1/003|VoiceClips/Cybros/ミッション1/004|VoiceClips/Cybros/ミッション1/005|VoiceClips/Cybros/ミッション1/006|VoiceClips/Cybros/ミッション1/007|VoiceClips/Cybros/ミッション1/008
battlesceneName: TestMap
